Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
36 x 5.63 x 1.13 inches,B0006VAM5G,None,No,China,"#34,724 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #29 in Thresholds",None,78634,3.25 pounds,$36.16,$40.11,$29.13,13
3.5 x 3.5 x 0.1 inches,B071HZYNFD,"May 21, 2017",Design House,China,"#35,425 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #90 in Door Hinges",Satin Nickel,181479,1.17 pounds,$8.53,$29.74,$0.00,13
1.5 x 8.5 x 12 inches,B000SKYON6,"June 7, 2008","Thermwell Products Co., Inc",USA,"#74,477 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #273 in Weather Stripping",White,L344H,3 ounces,$10.19,$31.61,$24.58,14
9.43 x 4.26 x 5.95 inches,B000CSN21Y,"September 14, 2006",Schlage Lock Company,India,"#50,396 in Office Products (See Top 100 in Office Products)  #461 in Door Stops",Brass,455A3,2.4 ounces,$6.38,$25.79,$0.00,13
None,B000BO56YU,"August 17, 2005",No,USA,"#41,792 in Office Products (See Top 100 in Office Products)  #383 in Door Stops",White,N248-419,0.64 ounces,$3.79,$25.71,$0.00,13
0.25 x 2 x 26 inches,B00GI1CWG0,"November 6, 2013",The Hillman Group,China,"#64,729 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #364 in Door Hinges",Brass,851064,9.1 ounces,$9.29,$27.26,$0.00,13
"6.62""L x 2""W",B00DS5GSGO,"June 28, 2013",No,China,"#100,488 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #418 in Sliding Door Hardware",Black/Wood,C 1192,5.6 ounces,$10.55,$27.74,$0.00,13
"3.5""L x 3.5""W",B07MC1YB3H,"January 7, 2019",Nostalgic Warehouse,China,"#25,255 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #56 in Door Hinges",Antique Brass,728345,6.7 ounces,$11.63,$26.67,$0.00,13
0.31 x 1.5 x 1.5 inches,B00DPH8M9Q,"June 28, 2013",No,China,"#91,815 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #382 in Sliding Door Hardware",Silver,D 1797,5.3 ounces,$10.78,$26.31,$0.00,12
6.8 x 3.5 x 2 inches,B00006IATN,"January 2, 2009",No,USA,"#43,793 in Office Products (See Top 100 in Office Products)  #401 in Door Stops",None,00964,0.704 ounces,$7.59,$27.80,$0.00,12
"13.7""D x 10.6""W x 13.75""H",B0794D1XLS,None,No,China,"#32,500 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #71 in Key Cabinets  #89 in Commercial Access Control",Black,CB13232,6.15 pounds,$59.99,$69.06,$35.71,12
6.93 x 6.14 x 0.87 inches,B0B1NBP7HL,"September 12, 2022",Milescraft,China,"#83,376 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #265 in Door Hinges",None,8413,1.58 ounces,$7.99,$26.05,$0.00,12
"84""L x 38""W",B0CHFK1GD4,"October 13, 2023",VEVOR,China,"#33,625 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #10 in Commercial Entry Doors",Transparent,RCV0,14.52 pounds,$48.89,$83.04,$23.52,N/A
"11.5""L x 6""W",B0778XZ7P2,"December 26, 2017",Prime-Line,China,"#83,321 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #347 in Sliding Door Hardware",Chrome,MP1034,4.5 ounces,$9.99,$26.40,$0.00,12
36 x 0.56 x 0.25 inches,B000BQWOH0,"August 17, 2005",No,China,"#108,885 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #126 in Thresholds",Gray,T 8680,0.8 ounces,$2.92,$25.59,$0.00,12
3 x 4 x 0.38 inches,B077959TXK,"December 21, 2017",Prime-Line,China,"#97,736 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #406 in Sliding Door Hardware",Zinc,MP2097,1.1 ounces,$8.79,$25.79,$0.00,12
"16.25""L x 1.5""W",B002JGT9VE,"July 29, 2009",National Hardware,USA,"#92,779 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #303 in Door Hinges",Zinc Plated,N168-336,2.1 pounds,$12.50,$33.45,$23.55,12
38.25 x 2.62 x 2.62 inches,B000CRIK3U,None,No,China,"#56,514 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #58 in Thresholds",None,11908,7.5 ounces,$19.53,$27.94,$0.00,12
"11""L x 10""W",B08TVT74JP,"January 23, 2021",Nuvo Iron,China,"#112,990 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #401 in Door Hinges",Black,SH12BLK,2.4 pounds,$16.99,$34.57,$26.19,12
1.18 x 3 x 0.25 inches,B000FKBRMU,"May 3, 2006",Prime-Line Products,Taiwan,"#79,518 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #250 in Door Hinges",Gold,N 6656,3.2 ounces,$4.09,$25.79,$0.00,12
120 x 0.75 x 0.5 inches,B09SVXQ3WN,"February 19, 2022",Thermwell Products,USA,"#79,572 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #292 in Weather Stripping",Gray,V734H2,6 ounces,$8.42,$31.41,$14.24,12
38 x 6.88 x 4.12 inches,B000CRKE70,"December 2, 2006",No,China,"#71,157 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #92 in Thresholds",White,6528,7.7 ounces,$12.48,$27.44,$18.58,12
0.09 x 3.5 x 3.5 inches,B09562JK3G,"May 17, 2021",Schlage,China,"#31,898 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #76 in Door Hinges",Matte Black,1011F,1.19 pounds,$20.24,$29.74,$25.47,12
3.5 x 0.09 x 3.5 inches,B08DLNYMJ7,"July 29, 2020",Design House,China,"#5,095 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #9 in Door Hinges",Matte Black,188912,3.97 pounds,$18.40,$40.99,$29.88,12
36 x 3.38 x 1 inches,B000I1CCPM,None,No,China,"#62,748 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #64 in Thresholds",None,08631,1 pounds,$17.49,$30.02,$18.78,12
